rl-secondary-1  | 2025-12-07 20:39:52,605 | INFO | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
rl-secondary-1  | 2025-12-07 20:40:16,772 | INFO | 192.168.65.1 - - [07/Dec/2025 20:40:16] "GET /health HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:16,812 | INFO | Replicated seq=11 msg=test message 1 (pos=10)
rl-secondary-1  | 2025-12-07 20:40:16,812 | INFO | 172.18.0.4 - - [07/Dec/2025 20:40:16] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:18,357 | INFO | 192.168.65.1 - - [07/Dec/2025 20:40:18] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:18,383 | INFO | Replicated seq=12 msg=blocking test (pos=11)
rl-secondary-1  | 2025-12-07 20:40:18,384 | INFO | 172.18.0.4 - - [07/Dec/2025 20:40:18] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:19,930 | INFO | Replicated seq=13 msg=message 2 (pos=12)
rl-secondary-1  | 2025-12-07 20:40:19,930 | INFO | 172.18.0.4 - - [07/Dec/2025 20:40:19] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:21,756 | INFO | Replicated seq=14 msg=message 3 (pos=13)
rl-secondary-1  | 2025-12-07 20:40:21,757 | INFO | 172.18.0.4 - - [07/Dec/2025 20:40:21] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:23,597 | INFO | Replicated seq=15 msg=message 4 (pos=14)
rl-secondary-1  | 2025-12-07 20:40:23,597 | INFO | 172.18.0.4 - - [07/Dec/2025 20:40:23] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:25,449 | INFO | 192.168.65.1 - - [07/Dec/2025 20:40:25] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:25,480 | INFO | Replicated seq=16 msg=delay test (pos=15)
rl-secondary-1  | 2025-12-07 20:40:25,481 | INFO | 172.18.0.4 - - [07/Dec/2025 20:40:25] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:27,238 | INFO | 192.168.65.1 - - [07/Dec/2025 20:40:27] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:32,567 | INFO | 192.168.65.1 - - [07/Dec/2025 20:40:32] "GET /health HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:32,576 | INFO | 192.168.65.1 - - [07/Dec/2025 20:40:32] "GET /health HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:32,614 | INFO | Replicated seq=17 msg=test message 1 (pos=16)
rl-secondary-1  | 2025-12-07 20:40:32,614 | INFO | 172.18.0.4 - - [07/Dec/2025 20:40:32] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:34,158 | INFO | 192.168.65.1 - - [07/Dec/2025 20:40:34] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:34,185 | INFO | Replicated seq=18 msg=blocking test (pos=17)
rl-secondary-1  | 2025-12-07 20:40:34,186 | INFO | 172.18.0.4 - - [07/Dec/2025 20:40:34] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:35,713 | INFO | Replicated seq=19 msg=message 2 (pos=18)
rl-secondary-1  | 2025-12-07 20:40:35,714 | INFO | 172.18.0.4 - - [07/Dec/2025 20:40:35] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:37,550 | INFO | Replicated seq=20 msg=message 3 (pos=19)
rl-secondary-1  | 2025-12-07 20:40:37,550 | INFO | 172.18.0.4 - - [07/Dec/2025 20:40:37] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:39,382 | INFO | Replicated seq=21 msg=message 4 (pos=20)
rl-secondary-1  | 2025-12-07 20:40:39,383 | INFO | 172.18.0.4 - - [07/Dec/2025 20:40:39] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:41,230 | INFO | 192.168.65.1 - - [07/Dec/2025 20:40:41] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:41,262 | INFO | Replicated seq=22 msg=delay test (pos=21)
rl-secondary-1  | 2025-12-07 20:40:41,262 | INFO | 172.18.0.4 - - [07/Dec/2025 20:40:41] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:40:43,038 | INFO | 192.168.65.1 - - [07/Dec/2025 20:40:43] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:06,875 | INFO | 192.168.65.1 - - [07/Dec/2025 20:53:06] "GET /health HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:06,907 | INFO | 192.168.65.1 - - [07/Dec/2025 20:53:06] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:07,940 | INFO | Replicated seq=23 msg=default_w (pos=22)
rl-secondary-1  | 2025-12-07 20:53:07,941 | INFO | 172.18.0.4 - - [07/Dec/2025 20:53:07] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:09,496 | INFO | 192.168.65.1 - - [07/Dec/2025 20:53:09] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:09,526 | INFO | Replicated seq=24 msg=w1_test (pos=23)
rl-secondary-1  | 2025-12-07 20:53:09,526 | INFO | 172.18.0.4 - - [07/Dec/2025 20:53:09] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:09,628 | INFO | 192.168.65.1 - - [07/Dec/2025 20:53:09] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:12,671 | INFO | 192.168.65.1 - - [07/Dec/2025 20:53:12] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:12,703 | INFO | Replicated seq=25 msg=w2_test (pos=24)
rl-secondary-1  | 2025-12-07 20:53:12,704 | INFO | 172.18.0.4 - - [07/Dec/2025 20:53:12] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:12,803 | INFO | Replicated seq=26 msg=e1 (pos=25)
rl-secondary-1  | 2025-12-07 20:53:12,803 | INFO | 172.18.0.4 - - [07/Dec/2025 20:53:12] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:12,813 | INFO | Replicated seq=27 msg=e2 (pos=26)
rl-secondary-1  | 2025-12-07 20:53:12,813 | INFO | 172.18.0.4 - - [07/Dec/2025 20:53:12] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:12,823 | INFO | Replicated seq=28 msg=e3 (pos=27)
rl-secondary-1  | 2025-12-07 20:53:12,824 | INFO | 172.18.0.4 - - [07/Dec/2025 20:53:12] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:13,355 | INFO | 192.168.65.1 - - [07/Dec/2025 20:53:13] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:16,396 | INFO | 192.168.65.1 - - [07/Dec/2025 20:53:16] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:16,422 | INFO | Replicated seq=29 msg=mix1 (pos=28)
rl-secondary-1  | 2025-12-07 20:53:16,422 | INFO | 172.18.0.4 - - [07/Dec/2025 20:53:16] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:16,741 | INFO | Replicated seq=30 msg=mix2 (pos=29)
rl-secondary-1  | 2025-12-07 20:53:16,742 | INFO | 172.18.0.4 - - [07/Dec/2025 20:53:16] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:17,065 | INFO | Replicated seq=31 msg=mix3 (pos=30)
rl-secondary-1  | 2025-12-07 20:53:17,066 | INFO | 172.18.0.4 - - [07/Dec/2025 20:53:17] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:22,605 | INFO | 192.168.65.1 - - [07/Dec/2025 20:53:22] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:22,635 | INFO | Replicated seq=32 msg=dup_test (pos=31)
rl-secondary-1  | 2025-12-07 20:53:22,635 | INFO | 172.18.0.4 - - [07/Dec/2025 20:53:22] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:24,163 | INFO | 192.168.65.1 - - [07/Dec/2025 20:53:24] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:24,182 | INFO | Replicated seq=33 msg=ord1 (pos=32)
rl-secondary-1  | 2025-12-07 20:53:24,182 | INFO | 172.18.0.4 - - [07/Dec/2025 20:53:24] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:24,411 | INFO | Replicated seq=34 msg=ord2 (pos=33)
rl-secondary-1  | 2025-12-07 20:53:24,411 | INFO | 172.18.0.4 - - [07/Dec/2025 20:53:24] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:26,159 | INFO | Replicated seq=35 msg=ord3 (pos=34)
rl-secondary-1  | 2025-12-07 20:53:26,159 | INFO | 172.18.0.4 - - [07/Dec/2025 20:53:26] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:26,398 | INFO | Replicated seq=36 msg=ord4 (pos=35)
rl-secondary-1  | 2025-12-07 20:53:26,398 | INFO | 172.18.0.4 - - [07/Dec/2025 20:53:26] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:26,629 | INFO | Replicated seq=37 msg=ord5 (pos=36)
rl-secondary-1  | 2025-12-07 20:53:26,630 | INFO | 172.18.0.4 - - [07/Dec/2025 20:53:26] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:33,172 | INFO | 192.168.65.1 - - [07/Dec/2025 20:53:33] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:33,229 | INFO | Replicated seq=38 msg=w1_timing_verify (pos=37)
rl-secondary-1  | 2025-12-07 20:53:33,229 | INFO | 172.18.0.4 - - [07/Dec/2025 20:53:33] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:33,251 | INFO | Replicated seq=39 msg=w2_timing_verify (pos=38)
rl-secondary-1  | 2025-12-07 20:53:33,251 | INFO | 172.18.0.4 - - [07/Dec/2025 20:53:33] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:55,132 | INFO | Replicated seq=40 msg=default_w_1765140835121 (pos=39)
rl-secondary-1  | 2025-12-07 20:53:55,132 | INFO | 172.18.0.4 - - [07/Dec/2025 20:53:55] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:57,658 | INFO | 192.168.65.1 - - [07/Dec/2025 20:53:57] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:57,669 | INFO | Replicated seq=41 msg=w1_fast_1765140837664 (pos=40)
rl-secondary-1  | 2025-12-07 20:53:57,669 | INFO | 172.18.0.4 - - [07/Dec/2025 20:53:57] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:57,676 | INFO | Replicated seq=42 msg=w2_1765140837672 (pos=41)
rl-secondary-1  | 2025-12-07 20:53:57,676 | INFO | 172.18.0.4 - - [07/Dec/2025 20:53:57] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:57,683 | INFO | Replicated seq=43 msg=w3_1765140837679 (pos=42)
rl-secondary-1  | 2025-12-07 20:53:57,683 | INFO | 172.18.0.4 - - [07/Dec/2025 20:53:57] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:53:59,198 | INFO | Replicated seq=44 msg=w_max_1765140839191 (pos=43)
rl-secondary-1  | 2025-12-07 20:53:59,199 | INFO | 172.18.0.4 - - [07/Dec/2025 20:53:59] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:02,721 | INFO | 192.168.65.1 - - [07/Dec/2025 20:54:02] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:02,734 | INFO | Replicated seq=45 msg=w1_no_acks_1765140842729 (pos=44)
rl-secondary-1  | 2025-12-07 20:54:02,735 | INFO | 172.18.0.4 - - [07/Dec/2025 20:54:02] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:02,744 | INFO | Replicated seq=46 msg=w2_one_ack_1765140842740 (pos=45)
rl-secondary-1  | 2025-12-07 20:54:02,745 | INFO | 172.18.0.4 - - [07/Dec/2025 20:54:02] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:02,753 | INFO | Replicated seq=47 msg=ev1_1765140842748_0 (pos=46)
rl-secondary-1  | 2025-12-07 20:54:02,753 | INFO | 172.18.0.4 - - [07/Dec/2025 20:54:02] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:02,867 | INFO | Replicated seq=48 msg=ev1_1765140842748_1 (pos=47)
rl-secondary-1  | 2025-12-07 20:54:02,868 | INFO | 172.18.0.4 - - [07/Dec/2025 20:54:02] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:02,974 | INFO | Replicated seq=49 msg=ev1_1765140842748_2 (pos=48)
rl-secondary-1  | 2025-12-07 20:54:02,974 | INFO | 172.18.0.4 - - [07/Dec/2025 20:54:02] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:03,592 | INFO | 192.168.65.1 - - [07/Dec/2025 20:54:03] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:07,616 | INFO | 192.168.65.1 - - [07/Dec/2025 20:54:07] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:07,631 | INFO | Replicated seq=50 msg=mix_1765140847625_1 (pos=49)
rl-secondary-1  | 2025-12-07 20:54:07,632 | INFO | 172.18.0.4 - - [07/Dec/2025 20:54:07] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:07,943 | INFO | Replicated seq=51 msg=mix_1765140847625_2 (pos=50)
rl-secondary-1  | 2025-12-07 20:54:07,944 | INFO | 172.18.0.4 - - [07/Dec/2025 20:54:07] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:08,259 | INFO | Replicated seq=52 msg=mix_1765140847625_3 (pos=51)
rl-secondary-1  | 2025-12-07 20:54:08,259 | INFO | 172.18.0.4 - - [07/Dec/2025 20:54:08] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:13,786 | INFO | 192.168.65.1 - - [07/Dec/2025 20:54:13] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:13,800 | INFO | Replicated seq=53 msg=temp_diff_1765140853794 (pos=52)
rl-secondary-1  | 2025-12-07 20:54:13,800 | INFO | 172.18.0.4 - - [07/Dec/2025 20:54:13] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:13,806 | INFO | 192.168.65.1 - - [07/Dec/2025 20:54:13] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:17,826 | INFO | 192.168.65.1 - - [07/Dec/2025 20:54:17] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:17,839 | INFO | Replicated seq=54 msg=delayed_1765140857832_0 (pos=53)
rl-secondary-1  | 2025-12-07 20:54:17,840 | INFO | 172.18.0.4 - - [07/Dec/2025 20:54:17] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:17,954 | INFO | Replicated seq=55 msg=delayed_1765140857832_1 (pos=54)
rl-secondary-1  | 2025-12-07 20:54:17,954 | INFO | 172.18.0.4 - - [07/Dec/2025 20:54:17] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:18,065 | INFO | Replicated seq=56 msg=delayed_1765140857832_2 (pos=55)
rl-secondary-1  | 2025-12-07 20:54:18,065 | INFO | 172.18.0.4 - - [07/Dec/2025 20:54:18] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:22,185 | INFO | 192.168.65.1 - - [07/Dec/2025 20:54:22] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:22,201 | INFO | Replicated seq=57 msg=dedup_test_1765140862195 (pos=56)
rl-secondary-1  | 2025-12-07 20:54:22,201 | INFO | 172.18.0.4 - - [07/Dec/2025 20:54:22] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:24,715 | INFO | 192.168.65.1 - - [07/Dec/2025 20:54:24] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:24,723 | INFO | Replicated seq=964725 msg=test_dedup_964725 (pos=57)
rl-secondary-1  | 2025-12-07 20:54:24,723 | INFO | 192.168.65.1 - - [07/Dec/2025 20:54:24] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:24,726 | INFO | 192.168.65.1 - - [07/Dec/2025 20:54:24] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:24,727 | INFO | Duplicate seq 964725 detected, skipping replication
rl-secondary-1  | 2025-12-07 20:54:24,728 | INFO | 192.168.65.1 - - [07/Dec/2025 20:54:24] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:24,729 | INFO | 192.168.65.1 - - [07/Dec/2025 20:54:24] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:24,731 | INFO | Replicated seq=864734 msg=dedup_multi_864734 (pos=57)
rl-secondary-1  | 2025-12-07 20:54:24,732 | INFO | 192.168.65.1 - - [07/Dec/2025 20:54:24] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:24,733 | INFO | Duplicate seq 864734 detected, skipping replication
rl-secondary-1  | 2025-12-07 20:54:24,733 | INFO | 192.168.65.1 - - [07/Dec/2025 20:54:24] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:24,735 | INFO | Duplicate seq 864734 detected, skipping replication
rl-secondary-1  | 2025-12-07 20:54:24,736 | INFO | 192.168.65.1 - - [07/Dec/2025 20:54:24] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:24,737 | INFO | Duplicate seq 864734 detected, skipping replication
rl-secondary-1  | 2025-12-07 20:54:24,737 | INFO | 192.168.65.1 - - [07/Dec/2025 20:54:24] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:24,739 | INFO | 192.168.65.1 - - [07/Dec/2025 20:54:24] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:24,741 | INFO | Replicated seq=764744 msg=order_764744_0 (pos=57)
rl-secondary-1  | 2025-12-07 20:54:24,741 | INFO | 192.168.65.1 - - [07/Dec/2025 20:54:24] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:24,742 | INFO | Replicated seq=764745 msg=order_764744_1 (pos=58)
rl-secondary-1  | 2025-12-07 20:54:24,742 | INFO | 192.168.65.1 - - [07/Dec/2025 20:54:24] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:24,744 | INFO | Replicated seq=764746 msg=order_764744_2 (pos=59)
rl-secondary-1  | 2025-12-07 20:54:24,744 | INFO | 192.168.65.1 - - [07/Dec/2025 20:54:24] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:24,746 | INFO | 192.168.65.1 - - [07/Dec/2025 20:54:24] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:24,747 | INFO | Duplicate seq 764745 detected, skipping replication
rl-secondary-1  | 2025-12-07 20:54:24,747 | INFO | 192.168.65.1 - - [07/Dec/2025 20:54:24] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:24,749 | INFO | 192.168.65.1 - - [07/Dec/2025 20:54:24] "GET /messages HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:24,753 | INFO | Replicated seq=58 msg=ord_1765140864753_1 (pos=57)
rl-secondary-1  | 2025-12-07 20:54:24,753 | INFO | 172.18.0.4 - - [07/Dec/2025 20:54:24] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:24,965 | INFO | Replicated seq=59 msg=ord_1765140864753_2 (pos=58)
rl-secondary-1  | 2025-12-07 20:54:24,966 | INFO | 172.18.0.4 - - [07/Dec/2025 20:54:24] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:26,687 | INFO | Replicated seq=60 msg=ord_1765140864753_3 (pos=59)
rl-secondary-1  | 2025-12-07 20:54:26,687 | INFO | 172.18.0.4 - - [07/Dec/2025 20:54:26] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:26,903 | INFO | Replicated seq=61 msg=ord_1765140864753_4 (pos=60)
rl-secondary-1  | 2025-12-07 20:54:26,903 | INFO | 172.18.0.4 - - [07/Dec/2025 20:54:26] "POST /replicate HTTP/1.1" 200 -
rl-secondary-1  | 2025-12-07 20:54:27,116 | INFO | Replicated seq=62 msg=ord_1765140864753_5 (pos=61)
rl-secondary-1  | 2025-12-07 20:54:27,117 | INFO | 172.18.0.4 - - [07/Dec/2025 20:54:27] "POST /replicate HTTP/1.1" 200 -
